Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Purchase Date,Ship Date,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Discount Amount,Cost Price,Sale Price
North America,North Carolina,Cary,LJ Computers,8,Acer,ConceptD 5,HDD,8GB,1TB,Tyler,Nelson,3305331818,johnsonkenneth@example.net,Calvin Rich,Repairs,Bank Transfer,45241,N/A,Offline,Medium,4624,393,15414,0,605,805,13081,17232
North America,Ohio,Youngstown,DEF Machines,7,Microsoft,Surface Book,SSD,16GB,256GB,Michael,Nelson,001-289-557-8113x5865,mkane@example.org,Erin Tucker,Repairs,Cash,44946,44966,Online,Low,2131,73,3824,0,620,874,2707,6046
North America,North Carolina,Salisbury,A & A PCs,8,Toshiba,Libretto,HDD,16GB,500GB,Lance,Flores,679.097.4127,patrickjustin@example.com,Tony Valenzuela,Returns,Finance,44598,N/A,Offline,Low,0,662,19152,13431,601,308,16698,19404
North America,North Carolina,Raleigh,Ricks Computers,3,Asus,ExpertBook B9,HDD,16GB,500GB,Tanner,Rosales,001-940-256-7563,nina36@example.com,Eric Hall,Returns,Finance,44818,44842,Online,Medium,0,447,17928,40508,617,261,15327,19267
Africa,Botswana,Southern,ABC Computers,5,Dell,OptiPlex,HDD,8GB,256GB,David,Bolton,(845)760-2532x802,jcross@example.org,Justin Schroeder,Second-hand Sales,Bank Transfer,44667,N/A,Offline,Low,0,977,20301,0,772,683,19127,24059
Africa,Tanzania,Dodoma,LJ Computers,3,Lenovo,ThinkCentre M920 Tiny,SSD,4GB,256GB,Brenda,Lewis,(731)659-6391,ralph54@example.org,Aaron Taylor,Second-hand Sales,Cash,44671,N/A,Offline,Low,0,12,30548,0,752,323,29789,33832
Africa,Egypt,South Sinai,KyaSand Tech Gadgets,7,Lenovo,Legion 5,HDD,8GB,1TB,Charles,Rowland,(455)475-3213,smullins@example.net,Jacob Hudson,Returns,Finance,44806,44810,Online,Low,0,288,16173,7862,406,629,14471,17978
Africa,Kenya,Garissa,Frankies Hardware and Software,1,Toshiba,Tecra,HDD,4GB,256GB,Peter,Scott,755.550.2049x9768,dixonmonica@example.com,Jason Robinson,Repairs,Bank Transfer,44732,N/A,Offline,High,3692,972,14259,0,548,931,12536,16583
Africa,Ethiopia,Somali,Western International PCs,5,Toshiba,Portege,SSD,4GB,500GB,Daniel,Dudley,-4845,durhamcameron@example.org,Joseph Good,Second-hand Sales,Bank Transfer,44971,N/A,Offline,Medium,0,202,30338,0,557,256,29304,31880
North America,North Carolina,Fayetteville,A & A PCs,3,MSI,Modern 15,HDD,2GB,1TB,Valerie,Jacobson,-10454,connie28@example.com,Calvin Rich,Returns,Bank Transfer,45195,45204,Online,Medium,0,618,31566,0,747,755,29154,31738
Africa,Angola,Benguela,ABC Computers,2,HP,Omen,HDD,16GB,1TB,Brady,Conley,+1-979-156-1459x8241,jennifer68@example.net,Kimberly Duncan,Returns,Finance,45091,45104,Online,Medium,0,402,25151,26057,770,260,25025,29041
Africa,Ghana,Central,Frankies Hardware and Software,10,Asus,TUF Gaming A15,SSD,16GB,500GB,Michael,Mcgrath,(996)112-4372,josephbaker@example.net,George Morales,Second-hand Sales,Finance,45003,45031,Online,Medium,0,392,13359,39916,505,729,11111,16090
North America,Illinois,Springfield,S & A Computer Place,8,Toshiba,Dynabook,SSD,16GB,500GB,Andrew,Johnson,001-364-153-9993x8869,butlersandra@example.net,Jerry Cox,Second-hand Sales,Finance,44691,N/A,Offline,Medium,0,88,16587,23074,751,136,11727,16593
Africa,Morocco,Beni Mellal Province,Mini Tech,2,Lenovo,ThinkPad T14,SSD,8GB,256GB,John,Patterson,(887)495-5540x23069,nicole60@example.com,Kelly Mitchell,Second-hand Sales,Finance,45112,N/A,Offline,High,0,663,14842,21672,417,896,12878,17113
North America,Michigan,Traverse City,Benjis Tech,5,Asus,ZenBook UX425,HDD,8GB,1TB,Angela,Conner,232.661.5086x1066,sandovalloretta@example.com,Casey Dunn,Returns,Finance,44727,N/A,Offline,High,0,224,16635,12276,499,414,13460,16744
North America,Ohio,Columbus,GHI Machines,6,Samsung,Notebook Odyssey,SSD,2GB,256GB,Jacqueline,Jones,974-654-4429x598,johnslinda@example.net,Roger Cole,Returns,Cash,44752,N/A,Offline,High,0,70,16959,0,693,58,16097,18737
North America,North Carolina,Rocky Mount,GH PC Shop,3,Lenovo,ThinkPad P15s,HDD,8GB,500GB,Carol,Buckley,896.475.0111,danielle91@example.net,Calvin Rich,Repairs,Cash,44988,N/A,Offline,Low,2536,966,18981,0,616,507,16245,19202
North America,Texas,Killeen,Greens Laptops and PCs,3,Lenovo,ThinkPad X1 Yoga,SSD,4GB,500GB,Robin,Shepherd,585-430-3749x35156,hgreen@example.net,Lauren Morales,Repairs,Bank Transfer,44646,N/A,Offline,High,3143,974,13375,0,613,902,13326,16971
North America,North Carolina,Chapel Hill,Western International PCs,2,Dell,Precision,HDD,8GB,256GB,David,Flores,568-314-5180x081,staceyayers@example.com,Catherine Cuevas,Returns,Bank Transfer,45032,N/A,Offline,Low,0,103,6382,0,836,642,3941,7391
Africa,Kenya,Migori,LJ Computers,7,HP,Pavilion,HDD,16GB,1TB,Lee,Patterson,638.060.4337,markhoover@example.com,Christopher Santos,Second-hand Sales,Cash,44821,44850,Online,Medium,0,618,13492,0,644,365,11493,13873
Africa,Tanzania,Kagera,XYZ Tech,6,Acer,Aspire 5,HDD,16GB,1TB,Lisa,Luna,5240449951,jason97@example.org,Mary Fisher,Returns,Bank Transfer,45065,45078,Online,Low,0,447,13495,0,641,740,12654,16470
Africa,Angola,Cabinda,Mini Tech,4,Samsung,Notebook Odyssey,SSD,16GB,500GB,Juan,Mcdonald,919638751,rossjeffrey@example.com,Ruben Snow,Second-hand Sales,Finance,45063,N/A,Offline,Low,0,593,17893,42153,745,990,16075,20202
North America,Illinois,Skokie,GHI Machines,9,Asus,ZenBook UX425,HDD,2GB,256GB,Nicole,Oconnell,476-458-4107x49133,bjarvis@example.com,Jeremy Thomas,New Sales,Bank Transfer,44632,44646,Online,Medium,0,267,25992,0,494,795,24730,27266
Africa,Ethiopia,Somali,GHI Machines,10,Apple,Apple Macintosh SE,HDD,2GB,500GB,Julie,Bowen,+1-112-278-4776x3110,steven31@example.org,Alexa Hopkins,Returns,Finance,45080,45106,Online,Medium,0,430,4790,16971,828,957,4527,7101
Africa,South Africa,Eastern Cape,LJ Computers,5,Microsoft,Surface Duo,HDD,16GB,256GB,Wayne,Wilson,(146)639-4045,youngwilliam@example.net,Daniel Lane,Repairs,Bank Transfer,45112,45135,Online,High,2525,532,14189,0,597,948,14165,18831
North America,California,San Bernardino,GHI Machines,9,Lenovo,IdeaCentre AIO 3,SSD,16GB,1TB,Amy,Smith,(131)854-2232x65063,ysharp@example.net,Sean Rodriguez,Repairs,Finance,45359,N/A,Offline,High,2015,917,18399,12238,803,775,16301,18649
North America,Michigan,Westland,Frankies Hardware and Software,1,Asus,ProArt StudioBook Pro X,SSD,4GB,1TB,Kendra,Horton,421.875.3334x875,kathyrollins@example.net,Elizabeth Martinez,Repairs,Bank Transfer,44623,44629,Online,Low,1585,208,17333,0,662,395,17226,20148
North America,Florida,Coral Springs,Mini Tech,6,HP,Spectre,SSD,4GB,1TB,Caitlyn,Fitzgerald,8360260576,schwartzlee@example.net,Deborah Anderson MD,Second-hand Sales,Bank Transfer,45183,45212,Online,Low,0,229,20989,0,721,233,19274,22274
North America,Georgia,Peachtree City,Frankies Hardware and Software,7,MSI,GS75 Stealth,SSD,16GB,256GB,Lisa,Hartman,076.670.1252x9828,david71@example.com,Kimberly Smith,Returns,Finance,45255,N/A,Offline,Low,0,488,29008,40559,679,948,25652,29437
North America,Michigan,Lansing,Western International PCs,9,Dell,Inspiron,SSD,4GB,1TB,Morgan,Cooper,001-594-544-6400,harveymichael@example.com,Kevin Padilla,Returns,Finance,45114,45140,Online,Medium,0,404,21831,12943,492,572,17467,21910
North America,California,Huntington Beach,Western International PCs,10,MSI,GE76 Raider,SSD,4GB,1TB,David,Taylor,5112133174,denise18@example.com,Ryan Bradley,New Sales,Cash,45007,45018,Online,Medium,0,796,23310,0,655,557,19319,23654
North America,Illinois,Oak Lawn,XYZ Tech,7,Toshiba,Libretto,SSD,2GB,256GB,Charles,Stokes,807.901.8464x236,cruzjoseph@example.net,Daniel Serrano,Repairs,Cash,44750,44771,Online,Low,3107,716,18960,0,813,310,17339,22126
North America,Ohio,Hamilton,Frankies Hardware and Software,10,Dell,OptiPlex,SSD,2GB,1TB,Matthew,Payne,(752)729-6118,wagnerkristen@example.net,Melissa Fernandez,New Sales,Bank Transfer,44475,N/A,Offline,Low,0,326,15473,0,455,341,12849,15723
Africa,South Africa,KwaZulu-Natal,Frankies Hardware and Software,7,Samsung,Notebook 5,HDD,2GB,256GB,Frederick,Chapman,+1-395-621-5955x938,egibson@example.org,Carol Smith,Second-hand Sales,Finance,44526,44555,Online,Low,0,398,28211,20634,694,701,25983,28447
Africa,Angola,Malanje,KyaSand Tech Gadgets,3,HP,Spectre,SSD,4GB,1TB,Tonya,Myers,049.494.0419x66768,mcintoshandrew@example.com,John Graham,New Sales,Finance,44690,N/A,Offline,High,0,258,31779,8755,792,239,28828,33016
Africa,Ghana,Greater Accra,LJ Computers,1,Dell,Vostro,SSD,2GB,256GB,Julia,Powell,390-910-8792x20907,justinrodriguez@example.net,Troy Howell,Returns,Finance,44468,N/A,Offline,Medium,0,845,7660,16759,638,169,5878,10194
North America,Florida,Plantation,Greens Laptops and PCs,6,Apple,Apple iMac,SSD,16GB,500GB,Lisa,Ramirez,368.577.5197,perkinszachary@example.org,Jordan Jensen,Repairs,Cash,44756,44770,Online,Medium,4493,895,11363,0,730,170,7245,12111
Africa,Egypt,Sharqia,Greens Laptops and PCs,9,HP,Pavilion,SSD,4GB,256GB,Edward,Rodriguez,(281)373-7268,qward@example.com,Diana Owens,Second-hand Sales,Finance,45360,45383,Online,High,0,110,30133,28390,665,801,27209,31283
North America,Georgia,Macon,ABC Computers,9,Lenovo,ThinkCentre M920 Tiny,SSD,4GB,500GB,Taylor,Fisher,+1-765-825-6189x414,alifelicia@example.org,Renee Howell,Repairs,Bank Transfer,45270,N/A,Offline,Low,2579,309,22578,0,806,919,21266,23364
Africa,Ethiopia,Benishangul-Gumuz,Western International PCs,6,Microsoft,Surface Hub,HDD,2GB,256GB,Kevin,Calderon,501-251-7302x6557,hwhitehead@example.com,Michael Summers,Returns,Cash,44504,N/A,Offline,Low,0,107,9156,0,514,330,5532,9441
Africa,Egypt,Giza,Mini Tech,6,Samsung,Notebook Odyssey,HDD,2GB,256GB,Jennifer,Larsen,(876)239-3465x92526,mccalljodi@example.com,Diana Owens,Second-hand Sales,Finance,45031,N/A,Offline,Low,0,795,13352,8317,755,797,8614,13517
Africa,Morocco,Chichaoua,ABC Computers,6,Apple,Apple MacBook Pro,HDD,8GB,256GB,Jennifer,Lewis,545-133-4688x683,mhoward@example.com,Adam Schwartz,Returns,Finance,45338,N/A,Offline,Medium,0,75,27177,10762,618,901,24442,29021
North America,Texas,Corpus Christi,XYZ Tech,4,Asus,ZenBook UX425,HDD,4GB,256GB,Kelly,Carter,001-512-637-4754,hnavarro@example.net,Mike Miranda,Returns,Finance,44433,44444,Online,Medium,0,128,11277,40974,689,38,8297,12564
Africa,Ethiopia,Benishangul-Gumuz,S & A Computer Place,4,Toshiba,Portege,SSD,2GB,256GB,Susan,Powell,(446)674-5381x1209,carterspencer@example.net,Michael Summers,New Sales,Cash,45331,45338,Online,Low,0,597,6762,0,828,599,4602,7038
Africa,Egypt,Port Said,XYZ Tech,5,Dell,Vostro,HDD,2GB,1TB,Regina,Williams,988578708,krubio@example.org,Robert Hudson,Repairs,Cash,44550,44564,Online,Low,2265,41,6759,0,843,170,3900,8084
North America,New York,Albany,CK Tech Store,8,Asus,Chromebook Flip C434,HDD,2GB,256GB,Trevor,Silva,+1-787-137-4047x0011,reynoldskeith@example.net,Jake Lee,New Sales,Cash,44839,44862,Online,High,0,712,15106,0,668,807,13565,18281
Africa,South Africa,Eastern Cape,Western International PCs,10,HP,Spectre,SSD,8GB,1TB,Kenneth,Suarez,824499605,rosekramer@example.com,Thomas Barr,Returns,Finance,44585,N/A,Offline,Low,0,65,28080,49396,748,912,26764,28943
North America,Georgia,Albany,CK Tech Store,10,Dell,Chromebook,HDD,16GB,256GB,Janice,Lawrence,784-700-8992,emily73@example.org,Ashley Thomas,Returns,Bank Transfer,44520,44546,Online,High,0,852,13280,0,696,541,12074,16791
North America,North Carolina,Chapel Hill,Jacks Hardware,4,Samsung,Notebook 9,HDD,8GB,256GB,Angela,West,+1-864-813-5945x8437,brittany74@example.org,Brady Walton,New Sales,Bank Transfer,45075,N/A,Offline,High,0,598,26161,0,492,830,24981,27010
North America,Michigan,Southfield,ABC Computers,4,Toshiba,Tecra,HDD,2GB,500GB,Larry,Rosario,001-120-445-4577,smoss@example.org,Veronica Larson,Repairs,Bank Transfer,44711,N/A,Offline,High,4993,595,24229,0,504,296,22312,26741
North America,Illinois,Champaign,XYZ Tech,4,Dell,Alienware,HDD,16GB,1TB,David,George,+1-882-665-7578x544,silvajustin@example.org,Jason Phillips,New Sales,Cash,45264,45291,Online,High,0,36,26823,0,604,675,23594,27754
North America,Michigan,Warren,Frankies Hardware and Software,1,HP,Elitebook,SSD,16GB,500GB,Briana,Lee,889-470-9708,ochan@example.org,Kevin Padilla,New Sales,Finance,44693,N/A,Offline,Medium,0,11,10558,48440,588,34,7425,10712
North America,Georgia,Roswell,Jacks Hardware,5,Apple,Apple Lisa,SSD,8GB,256GB,Melanie,Cooper,(424)900-7864x34162,zunigaandrew@example.net,Michael Collins,Repairs,Bank Transfer,44666,44668,Online,Medium,4872,572,12033,0,762,975,9058,13640
North America,California,Oxnard,Mini Tech,5,HP,Stream,HDD,2GB,500GB,Sheila,Watkins,1079491947,colemanrebecca@example.org,Linda Perez,Repairs,Bank Transfer,44614,44622,Online,Low,1710,968,22666,0,420,874,22365,24733
North America,Florida,Jacksonville,ABC Computers,10,MSI,P65 Creator,SSD,4GB,1TB,Brittney,Mays,789.704.2528x3109,laurie12@example.com,Richard Patterson,New Sales,Finance,44637,N/A,Offline,High,0,889,20691,41380,639,709,18376,21866
Africa,Nigeria,Gombe,GH PC Shop,5,MSI,GS75 Stealth,HDD,2GB,256GB,Thomas,Scott,984.213.8181x647,elizabeth46@example.org,Timothy Leach,Returns,Cash,45030,45045,Online,High,0,823,10144,0,560,478,9708,13752
Africa,South Africa,North West,ABC Computers,1,HP,Omen,HDD,16GB,500GB,Christopher,Acevedo,+1-639-433-0779x509,amy91@example.net,Pamela Zavala,Second-hand Sales,Bank Transfer,45193,45205,Online,Medium,0,825,14230,0,678,370,12738,15702
North America,Ohio,Dayton,KyaSand Tech Gadgets,10,Samsung,Notebook 9 Pro,HDD,8GB,256GB,Chelsea,Pollard,1660066307,jgordon@example.net,Mr. Nathan Douglas,Repairs,Bank Transfer,45301,45317,Online,High,3902,968,7203,0,634,634,6801,9893
Africa,South Africa,North West,Jacks Hardware,5,Acer,Predator Helios 300,HDD,4GB,1TB,Kelli,Everett,691.960.4563,marissa63@example.net,Thomas Barr,Second-hand Sales,Bank Transfer,44986,45008,Online,Low,0,558,25916,0,568,778,25887,28838
Africa,Botswana,Kweneng,ABC Computers,6,Apple,Apple Macintosh SE,SSD,8GB,500GB,Stephanie,Smith,922.653.5888,meyerjason@example.org,Heather Singleton,New Sales,Finance,44501,N/A,Offline,Low,0,413,14955,45626,543,450,13280,15822
Africa,Tanzania,Mbeya,Benjis Tech,3,Toshiba,Chromebook,HDD,8GB,1TB,Rachel,Jennings,001-831-936-1689x9873,blackelizabeth@example.com,Mitchell Atkins,Returns,Cash,45314,45328,Online,Low,0,111,11958,0,774,593,9343,12985
North America,Michigan,Royal Oak,Frankies Hardware and Software,1,Lenovo,Legion 5,SSD,16GB,1TB,Robert,Chandler,332-294-6568x44920,nathaniel01@example.com,Veronica Larson,Repairs,Bank Transfer,44454,44468,Online,Low,2707,763,22634,0,490,599,22442,25987
Africa,Kenya,Nyamira,Ricks Computers,4,Acer,Spin 5,SSD,2GB,256GB,Kenneth,Walker,405-668-7192,mccarthyjoseph@example.org,Amy Johnson,Repairs,Finance,44388,44410,Online,High,3904,703,12671,6681,427,332,12587,15015
Africa,Nigeria,Lagos,A & A PCs,5,Apple,Apple MacBook Air,HDD,16GB,1TB,David,Jones,+1-944-763-0422x67757,samantha33@example.net,Jennifer Wolf,Returns,Cash,44297,N/A,Offline,High,0,679,19441,0,506,337,18599,22491
North America,Georgia,Rome,Ricks Computers,5,Microsoft,Surface Go,HDD,4GB,256GB,Jeffrey,Friedman,929-638-2719x0643,gweiss@example.org,Renee Howell,Returns,Finance,44820,N/A,Offline,Low,0,972,8926,35212,437,657,8804,11257
North America,California,San Jose,CK Tech Store,9,Toshiba,Qosmio,SSD,4GB,500GB,John,Peters,(435)818-4507x099,kevinjackson@example.org,Larry Smith,Returns,Finance,44786,44796,Online,High,0,203,30168,23087,624,236,27602,32251
North America,California,Riverside,A & A PCs,5,HP,Stream,HDD,16GB,1TB,Sonya,Mitchell,4687773655,obrown@example.com,Andrew Miranda,Repairs,Bank Transfer,45216,N/A,Offline,Medium,3735,507,9320,0,486,810,7925,11461
Africa,Kenya,Kisii,CK Tech Store,2,Samsung,Chromebook 4,SSD,4GB,500GB,David,Garcia,001-354-230-0700x838,leonardmarissa@example.org,Danielle Cole,New Sales,Bank Transfer,44727,44739,Online,Low,0,803,8213,0,496,908,5587,9298
North America,North Carolina,Cary,XYZ Tech,7,Dell,Vostro,HDD,8GB,500GB,Douglas,Mccarthy,001-500-012-1147x8894,mark62@example.com,Brittany Franklin,Returns,Cash,44421,N/A,Offline,Medium,0,685,18965,0,418,9,18952,21247
North America,New York,Hempstead,XYZ Tech,1,Asus,ROG Zephyrus S GX701,SSD,8GB,500GB,Heidi,Austin,001-424-790-9910,adamnelson@example.net,Ashley Miranda,Repairs,Cash,44966,44973,Online,Low,4893,105,8278,0,577,653,7930,9966
North America,Pennsylvania,Pittsburgh,Ricks Computers,10,MSI,Modern 15,HDD,8GB,256GB,Amber,Spencer,(569)066-3074x2657,nelsonbrenda@example.org,Beth James,Second-hand Sales,Finance,44881,44882,Online,Low,0,925,28947,26863,405,561,26945,29964
North America,Ohio,Reynoldsburg,DEF Machines,5,Microsoft,Surface Neo,SSD,8GB,500GB,Dorothy,Cox,+1-982-709-9859x48191,myerssierra@example.com,Diamond Baker,Returns,Finance,44991,45017,Online,High,0,825,25514,1234,446,316,25236,28278
North America,North Carolina,Charlotte,Greens Laptops and PCs,3,MSI,Modern 15,HDD,2GB,256GB,Julia,Williams,001-591-708-6995x5658,pprice@example.net,Brittany Franklin,Repairs,Finance,44766,N/A,Offline,Low,3087,767,25669,28834,459,347,23538,28048
Africa,Ghana,Brong-Ahafo,Greens Laptops and PCs,7,Apple,Apple Macintosh SE,SSD,2GB,256GB,Jillian,Mays,899-550-9300,ricedale@example.org,Diana Ashley MD,Returns,Bank Transfer,45312,N/A,Offline,High,0,796,23007,0,614,987,21684,25173
North America,Florida,Tampa,GHI Machines,10,Asus,TUF Gaming A15,SSD,8GB,500GB,Ryan,Holmes,143-132-0051x58428,jeremy75@example.org,Richard Patterson,New Sales,Finance,45169,N/A,Offline,Low,0,937,14207,24635,422,634,12253,16741
Africa,Morocco,Meknes,Mini Tech,10,Asus,TUF Gaming A15,HDD,4GB,500GB,Andrew,Ward,001-087-766-4495,jeremy96@example.net,Adam Schwartz,Repairs,Finance,45047,45065,Online,High,1274,379,18919,44621,779,391,15990,20064
Africa,Tanzania,Pemba Kusini,Ricks Computers,2,Dell,Venue,HDD,4GB,256GB,Jennifer,Hunt,086-389-2465,andreyoung@example.org,Mitchell Atkins,Second-hand Sales,Finance,45167,N/A,Offline,High,0,487,6737,34319,528,839,6486,9708
Africa,South Africa,Western Cape,ABC Computers,10,Apple,Apple Macintosh Classic,SSD,16GB,500GB,Aaron,Peters,(186)379-7359x96207,achaney@example.org,Patricia Jones,Second-hand Sales,Bank Transfer,45074,45098,Online,Medium,0,533,5132,0,542,789,4360,7344
Africa,Botswana,South-East,Mini Tech,8,Apple,Apple Power Mac G5,SSD,16GB,1TB,Sandra,Rice,675-280-4426x12540,qlong@example.com,Heather Singleton,Returns,Bank Transfer,44401,44414,Online,High,0,314,15282,0,606,108,14286,18805
Africa,Tanzania,Iringa,CK Tech Store,2,MSI,GP76 Leopard,HDD,16GB,1TB,Kimberly,Welch,+1-497-976-3888x20436,karibell@example.net,Aaron Taylor,New Sales,Finance,45069,45093,Online,Low,0,329,9003,42216,415,764,8459,13136
Africa,Morocco,Taounate,Mini Tech,3,Acer,Swift 3,HDD,8GB,500GB,Joseph,English,001-278-370-8522x20777,melissamorales@example.org,Adam Schwartz,Returns,Bank Transfer,44960,N/A,Offline,Low,0,929,9420,0,620,653,9158,12016
North America,Georgia,Rome,XYZ Tech,6,Microsoft,Surface Studio,HDD,2GB,500GB,Derrick,Preston,432-463-0647,amybuck@example.org,Christine Ramirez,Second-hand Sales,Bank Transfer,45093,N/A,Offline,Medium,0,416,27997,0,573,583,23857,28711
Africa,South Africa,Western Cape,Ricks Computers,7,Microsoft,Surface Studio,SSD,16GB,1TB,Jessica,Thomas,968-282-4330x0369,whitetamara@example.org,Erin Williams,Second-hand Sales,Cash,45243,45273,Online,High,0,119,7691,0,726,608,5155,9623
Africa,Ethiopia,Dire Dawa,Western International PCs,1,Acer,Swift 3,SSD,16GB,1TB,Johnny,Adams,001-695-501-1903x81161,christine27@example.com,Samuel Hurst,Repairs,Finance,44519,44547,Online,High,3018,457,25344,33414,827,729,25070,27736
Africa,Morocco,Tan-Tan,ABC Computers,10,Acer,Nitro 5,SSD,2GB,1TB,Stacy,Spence,604-178-5801x756,baileyruben@example.com,Emma Scott,Repairs,Bank Transfer,45121,N/A,Offline,Medium,2812,461,9071,0,509,512,8210,11815
Africa,Angola,Lunda Sul,A & A PCs,9,Dell,XPS,HDD,4GB,1TB,Joshua,Jones,242.170.8635x0447,tamaraperez@example.org,Kenneth Willis,New Sales,Bank Transfer,44701,N/A,Offline,Low,0,998,19964,0,727,924,17837,21463
Africa,Kenya,Trans Nzoia,Jacks Hardware,10,Samsung,Chromebook 4,HDD,8GB,256GB,Donna,Nielsen,(657)434-8705,griffinmonique@example.org,David Ellis,Repairs,Cash,44579,N/A,Offline,Medium,2957,976,9462,0,739,969,9213,12626
Africa,Morocco,Essaouira,Benjis Tech,9,Lenovo,ThinkPad X1 Yoga,SSD,4GB,1TB,Jill,Lewis,(706)496-4203,danielhutchinson@example.net,Gwendolyn Thomas,New Sales,Cash,45205,45228,Online,High,0,783,8349,0,508,470,7582,10639
Africa,Nigeria,Plateau,DEF Machines,10,Lenovo,IdeaCentre AIO 3,SSD,4GB,500GB,Kimberly,Gonzalez,(695)444-4529,toddlloyd@example.com,Diana Waters,Repairs,Finance,45233,N/A,Offline,High,4988,667,29378,26739,844,375,29143,32690
Africa,Nigeria,Nasarawa,Mini Tech,7,MSI,GP76 Leopard,HDD,2GB,500GB,Brandon,West,971.944.3422x862,jimenezjames@example.org,Timothy Leach,Second-hand Sales,Finance,45354,45363,Online,Medium,0,172,31179,27848,823,246,29471,32965
North America,Florida,Miramar,GHI Machines,7,Lenovo,IdeaCentre AIO 3,SSD,4GB,256GB,Christopher,Schmidt,975.360.0180x40637,ocarpenter@example.org,Mary Kidd,Returns,Bank Transfer,44428,44442,Online,High,0,522,14441,0,536,951,13510,18042
Africa,Nigeria,Ebonyi,LJ Computers,6,Samsung,Notebook Flash,HDD,4GB,256GB,Travis,Mathews,(318)953-4024,kevin29@example.org,Randy Dillon,New Sales,Cash,45260,N/A,Offline,Low,0,746,22327,0,740,457,19443,23799
North America,Pennsylvania,McKeesport,Jacks Hardware,10,Lenovo,IdeaPad 5,HDD,2GB,256GB,Michael,Roberts,001-523-915-8710,timothy03@example.com,Thomas Perry,New Sales,Bank Transfer,45042,N/A,Offline,Low,0,935,8102,0,746,364,6829,11361
North America,Georgia,Albany,ABC Computers,9,Apple,Apple Power Mac G5,SSD,8GB,1TB,Robert,Watkins,261-904-4098x890,trevorhunt@example.org,Kimberly Smith,New Sales,Bank Transfer,44321,N/A,Offline,Low,0,638,11498,0,839,761,11249,16009
Africa,Nigeria,Anambra,A & A PCs,10,Asus,ROG Strix Scar III,HDD,2GB,1TB,Hannah,Macias,001-308-115-5798,escobarmatthew@example.com,Lisa Morgan,Second-hand Sales,Bank Transfer,44312,44332,Online,High,0,807,4385,0,565,906,2838,7080
Africa,Botswana,Southern,GHI Machines,7,Asus,ExpertBook B9,HDD,2GB,256GB,Monica,Thomas,001-688-369-5314,herrerajennifer@example.org,Karen Hale,Returns,Bank Transfer,44391,N/A,Offline,Medium,0,614,23949,0,723,281,20936,25602
Africa,Nigeria,Niger,Greens Laptops and PCs,3,Dell,Alienware,SSD,2GB,1TB,Alec,Bradford,6238553185,mgarcia@example.com,Lisa Morgan,Returns,Cash,45358,45369,Online,Medium,0,79,12635,0,781,553,11390,14479
Africa,Morocco,Safi,DEF Machines,7,Acer,Aspire 7,HDD,4GB,1TB,Matthew,Baker,(093)168-6365x323,colekelly@example.net,John Whitney,Repairs,Bank Transfer,44728,N/A,Offline,Low,2081,852,13897,0,555,355,13150,15824
North America,Pennsylvania,Easton,GHI Machines,9,Microsoft,Surface Go,SSD,16GB,1TB,Emily,Wyatt,557-251-0950,hughessarah@example.net,Julia Dodson,Returns,Cash,45006,45030,Online,High,0,422,17317,0,523,21,15390,20160
North America,Pennsylvania,Chester,Mini Tech,6,Samsung,Galaxy Chromebook 2,SSD,16GB,500GB,Sandra,Ferguson,035.171.5363,christophercolon@example.org,Thomas Perry,Second-hand Sales,Cash,45083,N/A,Offline,Medium,0,367,7683,0,504,739,3676,8371
North America,Michigan,Port Huron,Jacks Hardware,7,Microsoft,Surface Pro,SSD,2GB,256GB,Ethan,Johnson,387-220-1943x919,mbeck@example.net,Kevin Padilla,Second-hand Sales,Bank Transfer,44442,N/A,Offline,Medium,0,818,32793,0,653,28,28844,33137
Africa,Nigeria,Osun,DEF Machines,4,Acer,Aspire 7,HDD,16GB,500GB,Luis,Phillips,001-281-928-7121,brandonparrish@example.com,Pamela Morgan,New Sales,Bank Transfer,45285,45307,Online,High,0,499,26378,0,733,707,25626,28786
Africa,Nigeria,Edo,S & A Computer Place,1,Acer,Swift 3,HDD,2GB,256GB,Kelli,Edwards,(281)916-7852x30750,timothycooley@example.net,Collin Bryant,New Sales,Finance,45129,N/A,Offline,High,0,624,19192,13737,731,987,16827,19522
Africa,Ethiopia,Tigray,LJ Computers,10,Toshiba,Satellite,SSD,8GB,256GB,Matthew,Williams,-10471,barbaraking@example.net,Rachel Guerrero,New Sales,Finance,44841,44852,Online,Medium,0,513,28413,42010,781,161,27093,29143
Africa,Morocco,Casablanca,ABC Computers,7,Dell,Vostro,HDD,2GB,500GB,Lorraine,Barnes,010.469.6134,jennifer66@example.org,Amy Owens,New Sales,Bank Transfer,45210,45238,Online,Low,0,904,26606,0,634,344,22075,26825
North America,Michigan,Grand Rapids,DEF Machines,1,Toshiba,Qosmio,HDD,8GB,1TB,James,Anderson,001-377-907-9698,zwoods@example.com,Michael Gomez,Second-hand Sales,Finance,45103,45119,Online,High,0,564,11127,33408,850,695,9356,13711
